Time,Voltage
16/11/2023 11:42:08.888,1.434227
16/11/2023 11:42:08.889,1.432255
16/11/2023 11:42:08.890,1.434227
16/11/2023 11:42:08.891,1.434227
16/11/2023 11:42:08.892,1.433898
16/11/2023 11:42:08.893,1.435542
16/11/2023 11:42:08.894,1.434884
16/11/2023 11:42:08.895,1.434884
16/11/2023 11:42:08.896,1.434556
16/11/2023 11:42:08.897,1.436199
16/11/2023 11:42:08.898,1.439487
16/11/2023 11:42:08.899,1.444746
16/11/2023 11:42:08.900,1.443431
16/11/2023 11:42:08.901,1.434227
16/11/2023 11:42:08.902,1.434227
16/11/2023 11:42:08.903,1.434556
16/11/2023 11:42:08.904,1.43357
16/11/2023 11:42:08.905,1.434556
16/11/2023 11:42:08.906,1.434227
16/11/2023 11:42:08.907,1.434556
16/11/2023 11:42:08.908,1.433898
16/11/2023 11:42:08.909,1.434227
16/11/2023 11:42:08.910,1.434227
16/11/2023 11:42:08.911,1.434227
16/11/2023 11:42:08.912,1.434227
16/11/2023 11:42:08.913,1.434556
16/11/2023 11:42:08.914,1.434227
16/11/2023 11:42:08.915,1.43357
16/11/2023 11:42:08.916,1.433898
16/11/2023 11:42:08.917,1.435213
16/11/2023 11:42:08.918,1.437843
16/11/2023 11:42:08.919,1.444089
16/11/2023 11:42:08.920,1.44376
16/11/2023 11:42:08.921,1.434227
16/11/2023 11:42:08.922,1.435213
16/11/2023 11:42:08.923,1.434556
16/11/2023 11:42:08.924,1.434556
16/11/2023 11:42:08.925,1.434227
16/11/2023 11:42:08.926,1.433898
16/11/2023 11:42:08.927,1.434227
16/11/2023 11:42:08.928,1.434227
16/11/2023 11:42:08.929,1.432255
16/11/2023 11:42:08.930,1.434556
16/11/2023 11:42:08.931,1.434556
16/11/2023 11:42:08.932,1.434227
16/11/2023 11:42:08.933,1.434556
16/11/2023 11:42:08.934,1.434227
16/11/2023 11:42:08.935,1.432583
16/11/2023 11:42:08.936,1.434227
16/11/2023 11:42:08.937,1.436857
16/11/2023 11:42:08.938,1.440473
16/11/2023 11:42:08.939,1.445404
16/11/2023 11:42:08.940,1.444089
16/11/2023 11:42:08.941,1.433898
16/11/2023 11:42:08.942,1.435213
16/11/2023 11:42:08.943,1.434556
16/11/2023 11:42:08.944,1.434884
16/11/2023 11:42:08.945,1.434556
16/11/2023 11:42:08.946,1.434556
16/11/2023 11:42:08.947,1.434556
16/11/2023 11:42:08.948,1.434556
16/11/2023 11:42:08.949,1.434227
16/11/2023 11:42:08.950,1.434556
16/11/2023 11:42:08.951,1.434227
16/11/2023 11:42:08.952,1.434227
16/11/2023 11:42:08.953,1.434884
16/11/2023 11:42:08.954,1.434556
16/11/2023 11:42:08.955,1.434556
16/11/2023 11:42:08.956,1.434227
16/11/2023 11:42:08.957,1.431268
16/11/2023 11:42:08.958,1.440473
16/11/2023 11:42:08.959,1.444417
16/11/2023 11:42:08.960,1.443103
16/11/2023 11:42:08.961,1.435213
16/11/2023 11:42:08.962,1.434884
16/11/2023 11:42:08.963,1.434556
16/11/2023 11:42:08.964,1.434556
16/11/2023 11:42:08.965,1.436528
16/11/2023 11:42:08.966,1.434884
16/11/2023 11:42:08.967,1.435213
16/11/2023 11:42:08.968,1.434227
16/11/2023 11:42:08.969,1.433241
16/11/2023 11:42:08.970,1.434884
16/11/2023 11:42:08.971,1.434227
16/11/2023 11:42:08.972,1.436857
16/11/2023 11:42:08.973,1.434884
16/11/2023 11:42:08.974,1.432912
16/11/2023 11:42:08.975,1.437185
16/11/2023 11:42:08.976,1.434884
16/11/2023 11:42:08.977,1.436528
16/11/2023 11:42:08.978,1.442116
16/11/2023 11:42:08.979,1.444417
16/11/2023 11:42:08.980,1.448362
16/11/2023 11:42:08.981,1.434556
16/11/2023 11:42:08.982,1.434227
16/11/2023 11:42:08.983,1.434556
16/11/2023 11:42:08.984,1.434556
16/11/2023 11:42:08.985,1.434227
16/11/2023 11:42:08.986,1.434884
16/11/2023 11:42:08.987,1.43357
16/11/2023 11:42:08.988,1.434556
16/11/2023 11:42:08.989,1.434227
16/11/2023 11:42:08.990,1.434556
16/11/2023 11:42:08.991,1.434556
16/11/2023 11:42:08.992,1.434884
16/11/2023 11:42:08.993,1.431926
16/11/2023 11:42:08.994,1.434556
16/11/2023 11:42:08.995,1.435542
16/11/2023 11:42:08.996,1.434556
16/11/2023 11:42:08.997,1.436857
16/11/2023 11:42:08.998,1.44113
16/11/2023 11:42:08.999,1.445075
16/11/2023 11:42:08.999,1.445404
16/11/2023 11:42:09.001,1.434556
16/11/2023 11:42:09.002,1.437185
16/11/2023 11:42:09.003,1.43357
16/11/2023 11:42:09.004,1.435213
16/11/2023 11:42:09.005,1.434556
16/11/2023 11:42:09.006,1.43357
16/11/2023 11:42:09.007,1.434227
16/11/2023 11:42:09.008,1.435542
16/11/2023 11:42:09.009,1.431268
16/11/2023 11:42:09.010,1.434556
16/11/2023 11:42:09.011,1.433898
16/11/2023 11:42:09.012,1.434227
16/11/2023 11:42:09.013,1.435542
16/11/2023 11:42:09.014,1.434884
16/11/2023 11:42:09.015,1.434884
16/11/2023 11:42:09.016,1.432912
16/11/2023 11:42:09.017,1.436857
16/11/2023 11:42:09.018,1.440801
16/11/2023 11:42:09.019,1.444746
16/11/2023 11:42:09.020,1.444089
16/11/2023 11:42:09.021,1.435213
16/11/2023 11:42:09.022,1.433241
16/11/2023 11:42:09.023,1.435871
16/11/2023 11:42:09.024,1.434227
16/11/2023 11:42:09.025,1.434227
16/11/2023 11:42:09.026,1.434556
16/11/2023 11:42:09.027,1.434556
16/11/2023 11:42:09.028,1.434227
16/11/2023 11:42:09.029,1.434227
16/11/2023 11:42:09.030,1.434884
16/11/2023 11:42:09.031,1.433898
16/11/2023 11:42:09.032,1.434227
