Time,Voltage
16/11/2023 10:33:36.333,0.010526
16/11/2023 10:33:36.334,0.00954
16/11/2023 10:33:36.335,0.016771
16/11/2023 10:33:36.336,0.016114
16/11/2023 10:33:36.337,-0.008212
16/11/2023 10:33:36.338,-0.006568
16/11/2023 10:33:36.339,-0.010841
16/11/2023 10:33:36.340,-0.019388
16/11/2023 10:33:36.341,-0.014457
16/11/2023 10:33:36.342,-0.011499
16/11/2023 10:33:36.343,-0.010513
16/11/2023 10:33:36.344,-0.005582
16/11/2023 10:33:36.345,-0.004924
16/11/2023 10:33:36.346,-0.002952
16/11/2023 10:33:36.347,0.011512
16/11/2023 10:33:36.348,0.005595
16/11/2023 10:33:36.349,0.009868
16/11/2023 10:33:36.350,0.017429
16/11/2023 10:33:36.351,0.015128
16/11/2023 10:33:36.352,0.010854
16/11/2023 10:33:36.353,0.010526
16/11/2023 10:33:36.354,0.009868
16/11/2023 10:33:36.355,0.015785
16/11/2023 10:33:36.356,0.015128
16/11/2023 10:33:36.357,-0.009198
16/11/2023 10:33:36.358,-0.008869
16/11/2023 10:33:36.359,-0.010513
16/11/2023 10:33:36.360,-0.018402
16/11/2023 10:33:36.361,-0.015443
16/11/2023 10:33:36.362,-0.01117
16/11/2023 10:33:36.363,-0.010184
16/11/2023 10:33:36.364,-0.006568
16/11/2023 10:33:36.365,-0.004924
16/11/2023 10:33:36.366,-0.00098
16/11/2023 10:33:36.367,0.015457
16/11/2023 10:33:36.368,0.007238
16/11/2023 10:33:36.369,0.00954
16/11/2023 10:33:36.370,0.017429
16/11/2023 10:33:36.371,0.014142
16/11/2023 10:33:36.372,0.013813
16/11/2023 10:33:36.373,0.011183
16/11/2023 10:33:36.374,0.010526
16/11/2023 10:33:36.375,0.0171
16/11/2023 10:33:36.376,0.01447
16/11/2023 10:33:36.377,-0.008212
16/11/2023 10:33:36.378,-0.007883
16/11/2023 10:33:36.379,-0.010184
16/11/2023 10:33:36.380,-0.018073
16/11/2023 10:33:36.381,-0.014786
16/11/2023 10:33:36.382,-0.011827
16/11/2023 10:33:36.383,-0.010841
16/11/2023 10:33:36.384,-0.005253
16/11/2023 10:33:36.385,-0.006239
16/11/2023 10:33:36.386,-0.002952
16/11/2023 10:33:36.387,0.011512
16/11/2023 10:33:36.388,0.008225
16/11/2023 10:33:36.389,0.008882
16/11/2023 10:33:36.390,0.020059
16/11/2023 10:33:36.391,0.014142
16/11/2023 10:33:36.392,0.011841
16/11/2023 10:33:36.393,0.010526
16/11/2023 10:33:36.394,0.010526
16/11/2023 10:33:36.395,0.016771
16/11/2023 10:33:36.396,0.016771
16/11/2023 10:33:36.397,-0.00854
16/11/2023 10:33:36.398,-0.007883
16/11/2023 10:33:36.399,-0.01117
16/11/2023 10:33:36.400,-0.017744
16/11/2023 10:33:36.401,-0.014129
16/11/2023 10:33:36.402,-0.011499
16/11/2023 10:33:36.403,-0.009855
16/11/2023 10:33:36.404,-0.005253
16/11/2023 10:33:36.405,-0.006239
16/11/2023 10:33:36.406,-0.001637
16/11/2023 10:33:36.407,0.010854
16/11/2023 10:33:36.408,0.007567
16/11/2023 10:33:36.409,0.00954
16/11/2023 10:33:36.410,0.015128
16/11/2023 10:33:36.411,0.013813
16/11/2023 10:33:36.412,0.011183
16/11/2023 10:33:36.413,0.010854
16/11/2023 10:33:36.414,0.011841
16/11/2023 10:33:36.415,0.016443
16/11/2023 10:33:36.416,0.015457
16/11/2023 10:33:36.417,-0.00854
16/11/2023 10:33:36.418,-0.005253
16/11/2023 10:33:36.419,-0.008869
16/11/2023 10:33:36.420,-0.016758
16/11/2023 10:33:36.421,-0.014129
16/11/2023 10:33:36.422,-0.01117
16/11/2023 10:33:36.423,-0.010513
16/11/2023 10:33:36.424,-0.00591
16/11/2023 10:33:36.425,-0.006897
16/11/2023 10:33:36.426,0.001321
16/11/2023 10:33:36.427,0.011512
16/11/2023 10:33:36.428,0.007896
16/11/2023 10:33:36.429,0.009211
16/11/2023 10:33:36.430,0.017429
16/11/2023 10:33:36.431,0.014799
16/11/2023 10:33:36.432,0.012827
16/11/2023 10:33:36.433,0.011841
16/11/2023 10:33:36.434,0.011512
16/11/2023 10:33:36.435,0.015785
16/11/2023 10:33:36.436,0.016443
16/11/2023 10:33:36.437,-0.009198
16/11/2023 10:33:36.438,-0.007554
16/11/2023 10:33:36.439,-0.010841
16/11/2023 10:33:36.440,-0.018731
16/11/2023 10:33:36.441,-0.015115
16/11/2023 10:33:36.442,-0.011499
16/11/2023 10:33:36.443,-0.011827
16/11/2023 10:33:36.444,-0.006568
16/11/2023 10:33:36.445,-0.004924
16/11/2023 10:33:36.446,-0.001637
16/11/2023 10:33:36.447,0.012169
16/11/2023 10:33:36.448,0.004937
16/11/2023 10:33:36.449,0.008553
16/11/2023 10:33:36.450,0.0171
16/11/2023 10:33:36.451,0.014799
16/11/2023 10:33:36.452,0.012827
16/11/2023 10:33:36.453,0.011841
16/11/2023 10:33:36.454,0.015128
16/11/2023 10:33:36.455,0.016771
16/11/2023 10:33:36.456,0.016114
16/11/2023 10:33:36.457,-0.00854
16/11/2023 10:33:36.458,-0.008212
16/11/2023 10:33:36.459,-0.010184
16/11/2023 10:33:36.460,-0.017744
16/11/2023 10:33:36.461,-0.013471
16/11/2023 10:33:36.462,-0.011827
16/11/2023 10:33:36.463,-0.010184
16/11/2023 10:33:36.464,-0.00591
16/11/2023 10:33:36.465,-0.00591
16/11/2023 10:33:36.466,-0.002952
16/11/2023 10:33:36.467,0.011841
16/11/2023 10:33:36.468,0.007896
16/11/2023 10:33:36.469,0.010526
16/11/2023 10:33:36.470,0.017429
16/11/2023 10:33:36.471,0.013813
16/11/2023 10:33:36.472,0.016114
16/11/2023 10:33:36.473,0.010854
16/11/2023 10:33:36.474,0.011841
16/11/2023 10:33:36.475,0.016443
16/11/2023 10:33:36.476,0.01447
16/11/2023 10:33:36.477,-0.008869
16/11/2023 10:33:36.478,-0.008869
16/11/2023 10:33:36.479,-0.009855
16/11/2023 10:33:36.480,-0.018402
16/11/2023 10:33:36.481,-0.011499
16/11/2023 10:33:36.482,-0.01117
16/11/2023 10:33:36.483,-0.009855
16/11/2023 10:33:36.484,-0.008212
16/11/2023 10:33:36.485,-0.006568
16/11/2023 10:33:36.486,-0.003938
16/11/2023 10:33:36.487,0.013484
16/11/2023 10:33:36.488,0.00691
16/11/2023 10:33:36.489,0.00691
16/11/2023 10:33:36.490,0.016771
16/11/2023 10:33:36.491,0.012498
16/11/2023 10:33:36.492,0.007567
16/11/2023 10:33:36.493,0.011183
16/11/2023 10:33:36.494,0.012169
16/11/2023 10:33:36.495,0.015785
16/11/2023 10:33:36.496,0.015457
16/11/2023 10:33:36.497,-0.009198
16/11/2023 10:33:36.498,-0.007554
16/11/2023 10:33:36.499,-0.010841
16/11/2023 10:33:36.500,-0.017744
16/11/2023 10:33:36.501,-0.0138
16/11/2023 10:33:36.502,-0.014457
16/11/2023 10:33:36.503,-0.010841
16/11/2023 10:33:36.504,-0.006897
16/11/2023 10:33:36.505,-0.007883
16/11/2023 10:33:36.506,-0.001637
16/11/2023 10:33:36.507,0.012169
16/11/2023 10:33:36.508,0.007567
16/11/2023 10:33:36.509,0.00954
16/11/2023 10:33:36.510,0.017429
16/11/2023 10:33:36.511,0.012169
16/11/2023 10:33:36.512,0.011841
16/11/2023 10:33:36.513,0.009868
16/11/2023 10:33:36.514,0.010854
16/11/2023 10:33:36.515,0.017758
16/11/2023 10:33:36.516,0.017758
16/11/2023 10:33:36.517,-0.004924
16/11/2023 10:33:36.518,-0.006897
