Time,Voltage
16/11/2023 11:26:13.678,1.43357
16/11/2023 11:26:13.679,1.43357
16/11/2023 11:26:13.680,1.434227
16/11/2023 11:26:13.681,1.433898
16/11/2023 11:26:13.682,1.432912
16/11/2023 11:26:13.683,1.434884
16/11/2023 11:26:13.684,1.433241
16/11/2023 11:26:13.685,1.43357
16/11/2023 11:26:13.686,1.432912
16/11/2023 11:26:13.687,1.434884
16/11/2023 11:26:13.688,1.433898
16/11/2023 11:26:13.689,1.433898
16/11/2023 11:26:13.690,1.434556
16/11/2023 11:26:13.691,1.433241
16/11/2023 11:26:13.692,1.434884
16/11/2023 11:26:13.693,1.434556
16/11/2023 11:26:13.694,1.437843
16/11/2023 11:26:13.695,1.443103
16/11/2023 11:26:13.696,1.444746
16/11/2023 11:26:13.697,1.434227
16/11/2023 11:26:13.698,1.433898
16/11/2023 11:26:13.699,1.433898
16/11/2023 11:26:13.700,1.434227
16/11/2023 11:26:13.701,1.434556
16/11/2023 11:26:13.702,1.433898
16/11/2023 11:26:13.703,1.434227
16/11/2023 11:26:13.704,1.434556
16/11/2023 11:26:13.705,1.434227
16/11/2023 11:26:13.706,1.434227
16/11/2023 11:26:13.707,1.434556
16/11/2023 11:26:13.708,1.433898
16/11/2023 11:26:13.709,1.434227
16/11/2023 11:26:13.710,1.43357
16/11/2023 11:26:13.711,1.433898
16/11/2023 11:26:13.712,1.434227
16/11/2023 11:26:13.713,1.434227
16/11/2023 11:26:13.714,1.437185
16/11/2023 11:26:13.715,1.443103
16/11/2023 11:26:13.716,1.444417
16/11/2023 11:26:13.717,1.434556
16/11/2023 11:26:13.718,1.434227
16/11/2023 11:26:13.719,1.431926
16/11/2023 11:26:13.720,1.432255
16/11/2023 11:26:13.721,1.433241
16/11/2023 11:26:13.722,1.433898
16/11/2023 11:26:13.723,1.433241
16/11/2023 11:26:13.724,1.43357
16/11/2023 11:26:13.725,1.434884
16/11/2023 11:26:13.726,1.433898
16/11/2023 11:26:13.727,1.433898
16/11/2023 11:26:13.728,1.434556
16/11/2023 11:26:13.729,1.434556
16/11/2023 11:26:13.730,1.434556
16/11/2023 11:26:13.731,1.433898
16/11/2023 11:26:13.732,1.433898
16/11/2023 11:26:13.733,1.434556
16/11/2023 11:26:13.734,1.437514
16/11/2023 11:26:13.735,1.443431
16/11/2023 11:26:13.736,1.444746
16/11/2023 11:26:13.737,1.434556
16/11/2023 11:26:13.738,1.433898
16/11/2023 11:26:13.739,1.434884
16/11/2023 11:26:13.740,1.433898
16/11/2023 11:26:13.741,1.433898
16/11/2023 11:26:13.742,1.433898
16/11/2023 11:26:13.743,1.433898
16/11/2023 11:26:13.744,1.433898
16/11/2023 11:26:13.745,1.434227
16/11/2023 11:26:13.746,1.433898
16/11/2023 11:26:13.747,1.435871
16/11/2023 11:26:13.748,1.434227
16/11/2023 11:26:13.749,1.434227
16/11/2023 11:26:13.750,1.434884
16/11/2023 11:26:13.751,1.434884
16/11/2023 11:26:13.752,1.43357
16/11/2023 11:26:13.753,1.434884
16/11/2023 11:26:13.754,1.437514
16/11/2023 11:26:13.755,1.442774
16/11/2023 11:26:13.756,1.444746
16/11/2023 11:26:13.757,1.435542
16/11/2023 11:26:13.758,1.433898
16/11/2023 11:26:13.759,1.43357
16/11/2023 11:26:13.760,1.432583
16/11/2023 11:26:13.761,1.434227
16/11/2023 11:26:13.762,1.433898
16/11/2023 11:26:13.763,1.435542
16/11/2023 11:26:13.764,1.43357
16/11/2023 11:26:13.765,1.434227
16/11/2023 11:26:13.766,1.433898
16/11/2023 11:26:13.767,1.433898
16/11/2023 11:26:13.768,1.434884
16/11/2023 11:26:13.769,1.432912
16/11/2023 11:26:13.770,1.434227
16/11/2023 11:26:13.771,1.434227
16/11/2023 11:26:13.772,1.433898
16/11/2023 11:26:13.773,1.435213
16/11/2023 11:26:13.774,1.437843
16/11/2023 11:26:13.775,1.44376
16/11/2023 11:26:13.776,1.443431
16/11/2023 11:26:13.777,1.433898
16/11/2023 11:26:13.778,1.434227
16/11/2023 11:26:13.779,1.433898
16/11/2023 11:26:13.780,1.433241
16/11/2023 11:26:13.781,1.434227
16/11/2023 11:26:13.782,1.434227
16/11/2023 11:26:13.783,1.434227
16/11/2023 11:26:13.784,1.434884
16/11/2023 11:26:13.785,1.433898
16/11/2023 11:26:13.786,1.43357
16/11/2023 11:26:13.787,1.434884
16/11/2023 11:26:13.788,1.434556
16/11/2023 11:26:13.789,1.434227
16/11/2023 11:26:13.790,1.432912
16/11/2023 11:26:13.791,1.434884
16/11/2023 11:26:13.792,1.433898
16/11/2023 11:26:13.793,1.434227
16/11/2023 11:26:13.794,1.438829
16/11/2023 11:26:13.795,1.442445
16/11/2023 11:26:13.796,1.44376
16/11/2023 11:26:13.797,1.434556
16/11/2023 11:26:13.798,1.435213
16/11/2023 11:26:13.799,1.434556
16/11/2023 11:26:13.800,1.433898
16/11/2023 11:26:13.801,1.432583
16/11/2023 11:26:13.802,1.434227
16/11/2023 11:26:13.803,1.433898
16/11/2023 11:26:13.804,1.434556
16/11/2023 11:26:13.805,1.434227
16/11/2023 11:26:13.806,1.434884
16/11/2023 11:26:13.807,1.434556
16/11/2023 11:26:13.808,1.434556
16/11/2023 11:26:13.809,1.435213
16/11/2023 11:26:13.810,1.43357
16/11/2023 11:26:13.811,1.434884
16/11/2023 11:26:13.812,1.434227
16/11/2023 11:26:13.813,1.435871
16/11/2023 11:26:13.814,1.437185
16/11/2023 11:26:13.815,1.443431
16/11/2023 11:26:13.816,1.444089
16/11/2023 11:26:13.817,1.434556
16/11/2023 11:26:13.818,1.432583
16/11/2023 11:26:13.819,1.433898
16/11/2023 11:26:13.820,1.433898
16/11/2023 11:26:13.821,1.43357
16/11/2023 11:26:13.822,1.433898
16/11/2023 11:26:13.823,1.435542
16/11/2023 11:26:13.824,1.433241
16/11/2023 11:26:13.825,1.432912
16/11/2023 11:26:13.826,1.434227
16/11/2023 11:26:13.827,1.434884
16/11/2023 11:26:13.828,1.43357
16/11/2023 11:26:13.829,1.433898
16/11/2023 11:26:13.830,1.434556
16/11/2023 11:26:13.831,1.433898
16/11/2023 11:26:13.832,1.433898
16/11/2023 11:26:13.833,1.434556
16/11/2023 11:26:13.834,1.437514
16/11/2023 11:26:13.835,1.443103
16/11/2023 11:26:13.836,1.445075
16/11/2023 11:26:13.837,1.434556
16/11/2023 11:26:13.838,1.433898
16/11/2023 11:26:13.839,1.434556
16/11/2023 11:26:13.840,1.433898
16/11/2023 11:26:13.841,1.434556
16/11/2023 11:26:13.842,1.43357
16/11/2023 11:26:13.843,1.434227
16/11/2023 11:26:13.844,1.433898
16/11/2023 11:26:13.845,1.43357
16/11/2023 11:26:13.846,1.43357
16/11/2023 11:26:13.847,1.433898
16/11/2023 11:26:13.848,1.434556
16/11/2023 11:26:13.849,1.434884
16/11/2023 11:26:13.850,1.434556
16/11/2023 11:26:13.851,1.43357
16/11/2023 11:26:13.852,1.43357
16/11/2023 11:26:13.853,1.434227
16/11/2023 11:26:13.854,1.437185
16/11/2023 11:26:13.855,1.442445
16/11/2023 11:26:13.856,1.44113
16/11/2023 11:26:13.857,1.434884
16/11/2023 11:26:13.858,1.434556
16/11/2023 11:26:13.859,1.43357
16/11/2023 11:26:13.860,1.434227
16/11/2023 11:26:13.861,1.431926
16/11/2023 11:26:13.862,1.434227
16/11/2023 11:26:13.863,1.434227
16/11/2023 11:26:13.864,1.434556
16/11/2023 11:26:13.865,1.433898
16/11/2023 11:26:13.866,1.434227
16/11/2023 11:26:13.867,1.433898
16/11/2023 11:26:13.868,1.433898
16/11/2023 11:26:13.869,1.433898
16/11/2023 11:26:13.870,1.434556
16/11/2023 11:26:13.871,1.434227
16/11/2023 11:26:13.872,1.433898
16/11/2023 11:26:13.873,1.434227
16/11/2023 11:26:13.874,1.437185
16/11/2023 11:26:13.875,1.44376
16/11/2023 11:26:13.876,1.443431
16/11/2023 11:26:13.877,1.43357
16/11/2023 11:26:13.878,1.433898
16/11/2023 11:26:13.879,1.433898
16/11/2023 11:26:13.880,1.43357
16/11/2023 11:26:13.881,1.433898
16/11/2023 11:26:13.882,1.432912
16/11/2023 11:26:13.883,1.433898
16/11/2023 11:26:13.884,1.434556
16/11/2023 11:26:13.885,1.433898
16/11/2023 11:26:13.886,1.435871
16/11/2023 11:26:13.887,1.434884
16/11/2023 11:26:13.888,1.434227
16/11/2023 11:26:13.889,1.433241
16/11/2023 11:26:13.890,1.434556
16/11/2023 11:26:13.891,1.435213
16/11/2023 11:26:13.892,1.434227
16/11/2023 11:26:13.893,1.436199
16/11/2023 11:26:13.894,1.442774
16/11/2023 11:26:13.895,1.443103
16/11/2023 11:26:13.896,1.445732
16/11/2023 11:26:13.897,1.431597
16/11/2023 11:26:13.898,1.433898
16/11/2023 11:26:13.899,1.434556
16/11/2023 11:26:13.900,1.433898
16/11/2023 11:26:13.901,1.435213
16/11/2023 11:26:13.902,1.434884
16/11/2023 11:26:13.903,1.434227
16/11/2023 11:26:13.904,1.433898
16/11/2023 11:26:13.905,1.435542
16/11/2023 11:26:13.906,1.434227
16/11/2023 11:26:13.907,1.432912
16/11/2023 11:26:13.908,1.434227
16/11/2023 11:26:13.909,1.431926
16/11/2023 11:26:13.910,1.433241
16/11/2023 11:26:13.911,1.432912
16/11/2023 11:26:13.912,1.434556
16/11/2023 11:26:13.913,1.434556
16/11/2023 11:26:13.914,1.437843
16/11/2023 11:26:13.915,1.444417
16/11/2023 11:26:13.916,1.444746
16/11/2023 11:26:13.917,1.434556
16/11/2023 11:26:13.918,1.434227
16/11/2023 11:26:13.919,1.434227
16/11/2023 11:26:13.920,1.435542
16/11/2023 11:26:13.921,1.43357
16/11/2023 11:26:13.922,1.433898
16/11/2023 11:26:13.923,1.434556
16/11/2023 11:26:13.924,1.434227
16/11/2023 11:26:13.925,1.433898
16/11/2023 11:26:13.926,1.43357
16/11/2023 11:26:13.927,1.43357
16/11/2023 11:26:13.928,1.433898
16/11/2023 11:26:13.929,1.433898
16/11/2023 11:26:13.930,1.43357
16/11/2023 11:26:13.931,1.433898
16/11/2023 11:26:13.932,1.434556
16/11/2023 11:26:13.933,1.434556
16/11/2023 11:26:13.934,1.436199
16/11/2023 11:26:13.935,1.443431
16/11/2023 11:26:13.936,1.443103
16/11/2023 11:26:13.937,1.43357
16/11/2023 11:26:13.938,1.434227
16/11/2023 11:26:13.939,1.43357
16/11/2023 11:26:13.940,1.435542
16/11/2023 11:26:13.941,1.434556
16/11/2023 11:26:13.942,1.43357
16/11/2023 11:26:13.943,1.435213
16/11/2023 11:26:13.944,1.434884
16/11/2023 11:26:13.945,1.435542
16/11/2023 11:26:13.946,1.433241
16/11/2023 11:26:13.947,1.43357
16/11/2023 11:26:13.948,1.434227
16/11/2023 11:26:13.949,1.434227
16/11/2023 11:26:13.950,1.434884
16/11/2023 11:26:13.951,1.434227
16/11/2023 11:26:13.952,1.433898
16/11/2023 11:26:13.953,1.434227
16/11/2023 11:26:13.954,1.432583
16/11/2023 11:26:13.955,1.443103
16/11/2023 11:26:13.956,1.44376
16/11/2023 11:26:13.957,1.436199
16/11/2023 11:26:13.958,1.433898
16/11/2023 11:26:13.959,1.434556
16/11/2023 11:26:13.960,1.434556
16/11/2023 11:26:13.961,1.436199
16/11/2023 11:26:13.962,1.434556
16/11/2023 11:26:13.963,1.434227
16/11/2023 11:26:13.964,1.434556
16/11/2023 11:26:13.965,1.434227
16/11/2023 11:26:13.966,1.434227
16/11/2023 11:26:13.967,1.43357
16/11/2023 11:26:13.968,1.433898
16/11/2023 11:26:13.969,1.43357
16/11/2023 11:26:13.970,1.434227
16/11/2023 11:26:13.971,1.433241
16/11/2023 11:26:13.972,1.434227
16/11/2023 11:26:13.973,1.434884
16/11/2023 11:26:13.974,1.437514
16/11/2023 11:26:13.975,1.44376
16/11/2023 11:26:13.976,1.443103
16/11/2023 11:26:13.977,1.435213
16/11/2023 11:26:13.978,1.434556
16/11/2023 11:26:13.979,1.43357
16/11/2023 11:26:13.980,1.434227
16/11/2023 11:26:13.981,1.433898
16/11/2023 11:26:13.982,1.433241
16/11/2023 11:26:13.983,1.434556
16/11/2023 11:26:13.984,1.433898
16/11/2023 11:26:13.985,1.434227
16/11/2023 11:26:13.986,1.434556
16/11/2023 11:26:13.987,1.434884
16/11/2023 11:26:13.988,1.435542
16/11/2023 11:26:13.989,1.434556
16/11/2023 11:26:13.990,1.434884
16/11/2023 11:26:13.991,1.432912
16/11/2023 11:26:13.992,1.436857
